id,name,name_bn,size,price_bdt,mrp_bdt,corporate_price_bdt,categories,category_ids,manufacturer_ids,description,short_description,image_urls,offer_image_urls,url,country,sale_blocked,availability,catalog_item_type,fetched_at_utc
8517,7 Up 1 ltr,সেভেন আপ ১ লিটার,1 ltr,80.0,80.0,80.0,"[""Soft Drinks""]",[20],[],"Refreshingly Original. Caffeine-free with natural flavors for a crisp, clean, refreshing taste.    Ingredients-  Filtered Carbonated Water, High Fructose, Corn Syrup, Citric Acid, Potassium Citrate, Natural Flavors, Calcium Disodium Edta.",,"[""https://chaldn.com/_mpimage/7-up-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122690&q=best&v=1""]",[],https://chaldal.com/7-up-pet-1-ltr,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
8522,7 Up 500 ml,সেভেন আপ ৫০০ মিলি,500 ml,50.0,50.0,50.0,"[""Soft Drinks""]",[20],"[163, 472]","Refreshingly Original. Caffeine-free with natural flavors for a crisp, clean, refreshing taste.    Ingredients-  Filtered Carbonated Water, High Fructose, Corn Syrup, Citric Acid, Potassium Citrate, Natural Flavors, Calcium Disodium Edta.",,"[""https://chaldn.com/_mpimage/7-up-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163563&q=best&v=1&m=400""]",[],https://chaldal.com/7-up-500-ml,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
12280,7 Up Can 250 ml,সেভেন আপ ক্যান ২৫০ মিলি,250 ml,70.0,70.0,70.0,"[""Soft Drinks""]",[20],[163],"Refreshingly Original. Caffeine-free with  natural flavors for a crisp, clean, refreshing taste.    INGREDIENTS  FILTERED CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CITRIC ACID, POTASSIUM CITRATE, NATURAL FLAVORS, CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR).",,"[""https://chaldn.com/_mpimage/7-up-can-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169160&q=best&v=1&m=400""]",[],https://chaldal.com/7-up-can-250-ml,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
13319,A4 Tech Optical USB Mouse 1 pcs,এ ফোর টেক অপটিকাল ইউ এস বি  মাউস ১ টি,each,595.0,595.0,595.0,"[""Organizing Accessories""]",[202],[],,,"[""https://chaldn.com/_mpimage/a4-tech-optical-usb-mouse-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122736&q=best&v=1""]",[],https://chaldal.com/a4-tech-optical-usb-mouse-1-pcs,,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
2451,A5 Freedom Panty System Sanitary Napkin 10 pads,এ ৫ ফ্রীডম প্যানটি  সিস্টেম স্যানিটারি ন্যাপকিন ১০ টি প্যাড,,100.0,100.0,100.0,"[""Feminine Care""]",[35],"[135, 564, 565]",‘Air-Laid Paper’ Inside: Speeds up the absorption and ensures proper distribution of liquid providing you complete dry feeling and comfort. Sterilized Fluff Pulp: Ensures maximum absorption and keeps you germ free. Non-Leakage Shield: Protects from back leakage. Compact Top Sheet: Prevents shrinkage from the two sides of the pad.  It has Three Lines Adhesive Strips that help the pad fixing firmly with the panty.  Cotton Dry Cover: Soft and quilted to absorb faster and help keep liquid away from your body.,,"[""https://chaldn.com/_mpimage/a5-freedom-panty-system-sanitary-napkin-10-pads?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116424&q=best&v=1""]",[],https://chaldal.com/aci-savlon-freedom-regular-flow-panty-10-pads,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
28035,Aafi Mango Pickle 400 gm,আফি আমের আচার ৪০০ গ্রাম,400 gm,170.0,170.0,170.0,"[""Pickles""]",[78],[245],"Aafi Mango Pickle is a tangy, spicy condiment made from ripe mangoes and aromatic spices. Perfect for adding bold flavor to rice, bread, or as a snack. The 400 gm jar provides enough for frequent enjoyment. For those who love strong, traditional flavors, this pickle is a must-have.",,"[""https://chaldn.com/_mpimage/aafi-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138697&q=best&v=1&m=400""]",[],https://chaldal.com/aafi-mango-pickle-400-gm,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
30654,Aafi Olive Pickle 400 gm,আফি জলপাই আচার ৪০০ গ্রাম,400 gm,170.0,170.0,170.0,"[""Pickles""]",[78],[245],"The health advantages of pickles embody an honest offer of essential vitamins, minerals, and antioxidants, Contribute to modest polygenic disorder management, improve digestion and liver protection, offer probiotics, and therefore the ability to heal ulcers. Pickles area unit one is one of the oldest strategies of food digestion.",,"[""https://chaldn.com/_mpimage/aafi-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122738&q=best&v=1&m=400""]",[],https://chaldal.com/aafi-olive-pickle-400-gm,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
30647,Aafi Puffed Rice (Muri) 500 gm,আফি মুড়ি ৫০০ গ্রাম,500 gm,70.0,70.0,70.0,"[""Local Snacks""]",[52],[245],"Puffed rice refers to pre-gelatinized rice grains (either by being parboiled, boiled, or soaked) that are puffed by the rapid expansion of steam upon cooking. Puffed rice retains the shape of the rice grain, but is much larger. Popped rice, on the other hand, refers to rice grains where the hull or the bran is intact.",,"[""https://chaldn.com/_mpimage/aafi-puffed-rice-muri-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122743&q=best&v=1""]",[],https://chaldal.com/aafi-puffed-rice-muri-500-gm,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
20927,Aaram Juice Apple 1 ltr,আরআম জুস অ্যাপল ১ লিটার,1 ltr,415.0,415.0,415.0,"[""Juice""]",[19],"[186, 506, 528, 317, 327, 349]",Square Food & Beverage Ltd. has launched Aaram  Fruit Juice and marked its footstep in the beverage industry with a view to provide real fruit juice experience and health benefits to the ultimate consumers.,,"[""https://chaldn.com/_mpimage/aaram-juice-apple-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138438&q=best&v=1""]",[],https://chaldal.com/aaram-juice-apple-1-ltr,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
20926,Aaram Juice Mango 1 ltr,আরাম আমের জুস ১ লিটার,1 ltr,415.0,415.0,415.0,"[""Juice""]",[19],"[186, 317, 327, 349]","Aaram Mango Juice is made from real mango. No sugar, color or preservative has been added in the product. Aaram mango Juice is the right solution to meet your demand of daily nutrition."" ",,"[""https://chaldn.com/_mpimage/aaram-juice-mango-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101232&q=best&v=1&m=400""]",[],https://chaldal.com/aaram-juice-mango-1-ltr,BD,False,"[{""Quantity"": 50, ""EarliestAvailableTime"": {""UnixTimeMilliseconds"": 1788836400000, ""Offset"": 360.0}, ""AvailabilityExpiryTime"": {""UnixTimeMilliseconds"": 1788881400000, ""Offset"": 360.0}, ""EarliestAvailableTimeOfDay"": 0.0, ""AvailabilityCutOffTimeOfDay"": 1350.0}]",Grocery,2026-09-08T00:32:23.858670+00:00
